#SPRID	최저속도％	최고속도％
100902	150	200
101000	150	200
101001	150	200
101002	150	200
101003	150	200
101004	150	200
101005	150	200
101010	150	200
101011	150	200
101012	150	200
101013	150	200
101014	150	200
101020	150	200
101021	150	200
101022	150	200
101023	150	200
101024	150	200
101025	150	200
101030	150	200
101031	150	200
101032	150	200
101033	150	200
101100	150	200
101101	150	200
101102	150	200
101103	150	200
101104	150	200
101110	150	200
101111	150	200
101112	150	200
101113	150	200
101114	150	200
101120	150	200
101121	150	200
101122	150	200
101123	150	200
101200	150	200
101201	150	200
101202	150	200
101203	150	200
101204	150	200
101205	150	200
101210	150	200
101211	150	200
101212	150	200
101213	150	200
101214	150	200
101240	150	200
101241	150	200
101242	150	200
101243	150	200
101244	150	200
101245	150	200
101250	150	200
101251	150	200
101252	150	200
101253	150	200
101254	150	200
101300	150	200
101301	150	200
101302	150	200
101303	150	200
101310	150	200
101311	150	200
101312	150	200
101313	150	200
101314	150	200
101320	150	200
101321	150	200
101322	150	200
101323	150	200
101324	150	200
101330	150	200
101331	150	200
101332	150	200
101333	150	200
101400	150	200
101401	150	200
101402	150	200
101403	150	200
101404	150	200
101405	150	200
101406	150	200
101410	150	200
101411	150	200
101412	150	200
101413	150	200
101420	150	200
101421	150	200
101422	150	200
101423	150	200
101430	150	200
101431	150	200
101432	150	200
101433	150	200
101434	150	200
101500	150	200
101501	150	200
101502	150	200
101503	150	200
101510	150	200
101511	150	200
101512	150	200
101513	150	200
101520	150	200
101521	150	200
101522	150	200
101523	150	200
101524	150	200
101530	150	200
101531	150	200
101532	150	200
101533	150	200
101600	150	200
101601	150	200
101602	150	200
101603	150	200
101610	150	200
101611	150	200
101612	150	200
101613	150	200
101614	150	200
101615	150	200
101620	150	200
101621	150	200
101622	150	200
101623	150	200
101630	150	200
101631	150	200
101632	150	200
101633	150	200
101710	150	200
101711	150	200
101712	150	200
101713	150	200
101714	150	200
101720	150	200
101721	150	200
101722	150	200
101723	150	200
101800	150	200
101801	150	200
101802	150	200
101803	150	200
101810	150	200
101812	150	200
101820	150	200
101821	150	200
101822	150	200
101823	150	200
101824	150	200
101830	150	200
101831	150	200
101832	150	200
101833	150	200
101834	150	200
107000	150	200
107001	150	200
107002	150	200
107003	150	200
107010	150	200
107011	150	200
107012	150	200
107013	150	200
107110	150	200
107111	150	200
107112	150	200
107113	150	200
107200	150	200
107201	150	200
107202	150	200
107203	150	200
107210	150	200
107211	150	200
107212	150	200
107213	150	200
107300	150	200
107301	150	200
107302	150	200
107303	150	200
107400	150	200
107401	150	200
107402	150	200
107403	150	200
107500	150	200
107501	150	200
107502	150	200
107503	150	200
107610	150	200
107611	150	200
107612	150	200
107613	150	200
107710	150	200
107711	150	200
107712	150	200
107713	150	200
107800	150	200
107801	150	200
107802	150	200
107803	150	200
110300	150	200
110301	150	200
110302	150	200
110303	150	200
110304	150	200
110305	150	200
110306	150	200
110307	150	200
110308	150	200
110309	150	200
110310	150	200
110311	150	200
110312	150	200
110317	150	200
110318	150	200
110319	150	200
110320	150	200
110321	150	200
110322	150	200
110323	150	200
110324	150	200
110325	150	200
110342	150	200
110343	150	200
110344	150	200
110345	150	200
110346	150	200
110347	150	200
110348	150	200
110349	150	200
110388	150	200
110389	150	200
110390	150	200
110391	150	200
110392	150	200
110393	150	200
110394	150	200
110395	150	200
110509	150	200
110510	150	200
110511	150	200
110512	150	200
110513	150	200
110514	150	200
110520	150	200
110521	150	200
110522	150	200
110523	150	200
110524	150	200
110525	150	200
110526	150	200
110527	150	200
110528	150	200
110529	150	200
110530	150	200
110531	150	200
110532	150	200
110533	150	200
110534	150	200
110535	150	200
110536	150	200
110537	150	200
110538	150	200
110539	150	200
110540	150	200
110541	150	200
110542	150	200
110543	150	200
110544	150	200
110545	150	200
110546	150	200
110547	150	200
110548	150	200
110549	150	200
110550	150	200
110551	150	200
110552	150	200
110553	150	200
110554	150	200
110555	150	200
110556	150	200
110557	150	200
110558	150	200
110559	150	200
110560	150	200
110561	150	200
110568	150	200
110569	150	200
110570	150	200
110571	150	200
110572	150	200
110573	150	200
110574	150	200
110575	150	200
110576	150	200
110577	150	200
110578	150	200
110579	150	200
110580	150	200
110581	150	200
110582	150	200
110583	150	200
110584	150	200
110585	150	200
110592	150	200
110593	150	200
110594	150	200
110595	150	200
110596	150	200
110597	150	200
110598	150	200
110770	150	200
110771	150	200
110772	150	200
110773	150	200
110774	150	200
110775	150	200
110776	150	200
110777	150	200
110778	150	200
110779	150	200
110780	150	200
110781	150	200
